letter,Arabic,German,English,Spanish,French,Hindi,Indonesian,Italian,Japanese,Dutch,Portuguese,Russian,Thai,Turkish,Vietnamese,Chinese,Korean
A,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
B,867,867,867,867,867,867,867,867,867,867,867,867,867,867,867,867,867
C,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
D,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239
E,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401
F,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
G,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
H,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
I,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
J,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871,3871
K,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353,2353
L,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233,1233
M,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436
N,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
O,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408,408
P,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057
Q,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473,6473
R,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217
S,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371
T,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594
U,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
V,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
W,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
X,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
Y,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609,3609
Z,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787
a,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
b,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
c,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
d,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
e,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
f,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
g,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633
h,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572
i,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
j,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434,2434
k,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
l,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
m,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
n,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
o,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
p,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
q,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034
r,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853,853
s,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
t,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248
u,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
v,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
w,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
x,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824,824
y,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
z,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
