subject,verb,object
I,observe,earth
I,observe,station
I,observe,experiment
I,observe,food
I,observe,data
I,observe,star
I,observe,story
I,observe,future
I,observe,earthling
I,observe,robot
I,observe,commander
I,observe,astronaut
I,observe,share
I,observe,explore
I,observe,build
I,observe,repair
I,observe,communicate
I,observe,float
I,observe,dream
we,build,earth
we,build,station
we,build,experiment
we,build,food
we,build,data
we,build,star
we,build,story
we,build,future
we,build,earthling
we,build,robot
we,build,commander
we,build,astronaut
we,build,share
we,build,explore
we,build,repair
we,build,communicate
we,build,float
we,build,dream
you,repair,earth
you,repair,station
you,repair,experiment
you,repair,food
you,repair,data
you,repair,star
you,repair,story
you,repair,future
you,repair,earthling
you,repair,robot
you,repair,commander
you,repair,astronaut
you,repair,share
you,repair,explore
you,repair,build
you,repair,communicate
you,repair,float
you,repair,dream
they,communicate,earth
they,communicate,station
they,communicate,experiment
they,communicate,food
they,communicate,data
they,communicate,star
they,communicate,story
they,communicate,future
they,communicate,earthling
they,communicate,robot
they,communicate,commander
they,communicate,astronaut
they,communicate,share
they,communicate,explore
they,communicate,build
they,communicate,repair
they,communicate,float
they,communicate,dream
astronaut,float,earth
astronaut,float,station
astronaut,float,experiment
astronaut,float,food
astronaut,float,data
astronaut,float,star
astronaut,float,story
astronaut,float,future
astronaut,float,earthling
astronaut,float,robot
astronaut,float,commander
astronaut,float,astronaut
astronaut,float,share
astronaut,float,explore
astronaut,float,build
astronaut,float,repair
astronaut,float,communicate
astronaut,float,dream
robot,dream,earth
robot,dream,station
robot,dream,experiment
robot,dream,food
robot,dream,data
robot,dream,star
robot,dream,story
robot,dream,future
robot,dream,earthling
robot,dream,robot
robot,dream,commander
robot,dream,astronaut
robot,dream,share
robot,dream,explore
robot,dream,build
robot,dream,repair
robot,dream,communicate
robot,dream,float
earthling,share,earth
earthling,share,station
earthling,share,experiment
earthling,share,food
earthling,share,data
earthling,share,star
earthling,share,story
earthling,share,future
earthling,share,earthling
earthling,share,robot
earthling,share,commander
earthling,share,astronaut
earthling,share,dream
earthling,share,explore
earthling,share,build
earthling,share,repair
earthling,share,communicate
earthling,share,float
commander,explore,earth
commander,explore,station
commander,explore,experiment
commander,explore,food
commander,explore,data
commander,explore,star
commander,explore,story
commander,explore,future
commander,explore,earthling
commander,explore,robot
commander,explore,commander
commander,explore,astronaut
commander,explore,share
commander,explore,dream
commander,explore,build
commander,explore,repair
commander,explore,communicate
commander,explore,float 
