main_word,Arabic,Chinese,French,German,Hindi,Indonesian,Italian,Japanese,Korean,Portuguese,Russian,Spanish,Swahili,Turkish,Urdu,Vietnamese,English
I,116458,11812,1263,1691,137351,228,2874,23180,11243,4391,1207,9647,1042,1906,4120,46603,205
observe,3466,54760,38529,77425,163910,2156,103243,31482,31919,56565,32736,56565,4019,114169,91627,6213,33287
earth,34024,1396,10094,28054,185844,426,7780,1396,7601,7780,113758,10169,11105,77553,173155,55577,7571
we,157227,11812,14032,33475,107225,12059,55163,23180,42479,79007,5286,107495,228,135089,182274,11663,214
build,3466,10495,28179,26257,178799,72762,42701,10495,181821,25982,76170,25982,4019,77091,20740,23477,5814
station,89336,22427,863,12305,16758,4431,13497,2351,17942,38531,21248,12830,277,1816,76547,4758,863
you,160622,33336,5816,102,123277,158117,5816,84183,78872,59672,1611,111044,2099,1289,14493,42671,79
repair,76419,18499,68273,28079,15090,13555,40577,18499,3735,154742,52238,154742,277,8602,17960,72367,20226
experiment,142129,62693,27073,67179,20121,122809,118603,20637,63384,104983,30309,104983,423,1014,28434,66929,23069
they,7790,866,1439,308,25328,1135,1949,3990,6166,6704,3872,6281,377,152128,2041,982,146
communicate,11397,96387,129445,14565,165469,1151,140501,4536,1094,150945,4799,34822,4019,157348,21521,21151,17158
food,172936,13650,64068,28635,156354,1116,61640,13650,60221,48202,3141,48202,98785,181317,40466,13201,3002
astronaut,151363,51867,19107,43370,182025,19107,143102,51867,42479,143102,71807,143102,464,19107,114631,30692,19107
float,108243,160369,34697,10144,152336,125518,9879,103124,195221,152205,7429,34697,4019,97311,3727,19324,3461
data,65478,2686,17766,27152,177591,2306,16204,21769,33402,20802,34425,16258,2306,34504,190767,64284,2306
robot,9888,22112,25151,7949,24077,25151,25151,63907,2970,9284,84709,25151,32728,25151,9888,1290,25151
dream,5890,122127,71001,102949,16758,1042,81739,29812,185085,132113,11779,66020,447,17877,7698,1095,9691
star,132843,8087,45498,25473,169583,426,25329,8087,71111,58685,81032,31332,10326,120304,176967,29549,3699
earthling,164321,1396,23785,18269,185844,19713,23785,1396,7601,23785,90265,23785,464,164133,5071,1290,4164
share,159443,2518,95504,24103,33154,1151,89144,5056,50036,141117,40233,120904,3036,139605,55970,9547,5763
story,64513,21333,4663,5585,141060,2633,6746,3450,1048,11003,43847,4500,16468,1433,40466,29691,1694
commander,71093,7843,20689,74621,179227,3697,15156,14074,7601,15156,38118,15156,9362,180905,40466,6212,8844
explore,39943,36734,48437,306,105449,2156,64308,36734,185936,98918,27888,98918,282,135199,28198,118971,26913
future,167458,10599,61621,41396,45830,30246,12594,10599,31722,12594,119377,12594,3015,167453,167458,20761,3161
