Word,Word_ID,matrix_bits
حب,1,100000000000000000000000
Liebe,2,010000000000000000000000
love,3,001000000000000000000000
amor,4,000100000000000000000000
amour,5,000010000000000000000000
प्यार,6,000001000000000000000000
cinta,7,000000100000000000000000
amore,8,000000010000000000000000
愛,9,000000001000000000000000
liefde,10,000000000100000000000000
любовь,11,000000000010000000000000
รัก,12,000000000001000000000000
aşk,13,000000000000100000000000
tình yêu,14,000000000000010000000000
爱,15,000000000000001000000000
사랑,16,000000000000000100000000
سلام,17,000000000000000010000000
Frieden,18,000000000000000001000000
peace,19,000000000000000000100000
paz,20,000000000000000000010000
paix,21,000000000000000000001000
शांति,22,000000000000000000000100
damai,23,000000000000000000000010
pace,24,000000000000000000000001
平和,25,100000000000000000000000
vrede,26,010000000000000000000000
мир,27,001000000000000000000000
สันติภาพ,28,000100000000000000000000
barış,29,000010000000000000000000
hòa bình,30,000001000000000000000000
和平,31,000000100000000000000000
평화,32,000000010000000000000000
شجاعة,33,000000001000000000000000
Mut,34,000000000100000000000000
courage,35,000000000010000000000000
coraje,36,000000000001000000000000
साहस,37,000000000000100000000000
keberanian,38,000000000000010000000000
coraggio,39,000000000000001000000000
勇気,40,000000000000000100000000
moed,41,000000000000000010000000
coragem,42,000000000000000001000000
мужество,43,000000000000000000100000
กล้าหาญ,44,000000000000000000010000
cesaret,45,000000000000000000001000
can đảm,46,000000000000000000000100
勇气,47,000000000000000000000010
용기,48,000000000000000000000001
أمل,49,100000000000000000000000
Hoffnung,50,010000000000000000000000
hope,51,001000000000000000000000
esperanza,52,000100000000000000000000
espoir,53,000010000000000000000000
आशा,54,000001000000000000000000
harapan,55,000000100000000000000000
speranza,56,000000010000000000000000
希望,57,000000001000000000000000
hoop,58,000000000100000000000000
esperança,59,000000000010000000000000
надежда,60,000000000001000000000000
ความหวัง,61,000000000000100000000000
umut,62,000000000000010000000000
hy vọng,63,000000000000001000000000
희망,64,000000000000000100000000
خوف,65,000000000000000010000000
Angst,66,000000000000000001000000
fear,67,000000000000000000100000
miedo,68,000000000000000000010000
peur,69,000000000000000000001000
भय,70,000000000000000000000100
ketakutan,71,000000000000000000000010
paura,72,000000000000000000000001
恐れ,73,100000000000000000000000
angst,74,010000000000000000000000
medo,75,001000000000000000000000
страх,76,000100000000000000000000
ความกลัว,77,000010000000000000000000
korku,78,000001000000000000000000
sợ hãi,79,000000100000000000000000
恐惧,80,000000010000000000000000
두려움,81,000000001000000000000000
سعادة,82,000000000100000000000000
Glück,83,000000000010000000000000
happiness,84,000000000001000000000000
felicidad,85,000000000000100000000000
bonheur,86,000000000000010000000000
खुशी,87,000000000000001000000000
kebahagiaan,88,000000000000000100000000
felicità,89,000000000000000010000000
幸福,90,000000000000000001000000
geluk,91,000000000000000000100000
felicidade,92,000000000000000000010000
счастье,93,000000000000000000001000
ความสุข,94,000000000000000000000100
mutluluk,95,000000000000000000000010
hạnh phúc,96,000000000000000000000001
행복,97,100000000000000000000000
معرفة,98,010000000000000000000000
Wissen,99,001000000000000000000000
knowledge,100,000100000000000000000000
conocimiento,101,000010000000000000000000
connaissance,102,000001000000000000000000
ज्ञान,103,000000100000000000000000
pengetahuan,104,000000010000000000000000
conoscenza,105,000000001000000000000000
知識,106,000000000100000000000000
kennis,107,000000000010000000000000
conhecimento,108,000000000001000000000000
знание,109,000000000000100000000000
ความรู้,110,000000000000010000000000
bilgi,111,000000000000001000000000
kiến thức,112,000000000000000100000000
知识,113,000000000000000010000000
지식,114,000000000000000001000000
عطش,115,000000000000000000100000
Durst,116,000000000000000000010000
thirst,117,000000000000000000001000
sed,118,000000000000000000000100
soif,119,000000000000000000000010
प्यास,120,000000000000000000000001
haus,121,100000000000000000000000
sete,122,010000000000000000000000
渇き,123,001000000000000000000000
dorst,124,000100000000000000000000
sede,125,000010000000000000000000
жажда,126,000001000000000000000000
กระหายน้ำ,127,000000100000000000000000
susuzluk,128,000000010000000000000000
khát,129,000000001000000000000000
口渴,130,000000000100000000000000
갈증,131,000000000010000000000000
حقيقة,132,000000000001000000000000
Wahrheit,133,000000000000100000000000
truth,134,000000000000010000000000
verdad,135,000000000000001000000000
vérité,136,000000000000000100000000
सच,137,000000000000000010000000
kebenaran,138,000000000000000001000000
verità,139,000000000000000000100000
真実,140,000000000000000000010000
waarheid,141,000000000000000000001000
verdade,142,000000000000000000000100
правда,143,000000000000000000000010
ความจริง,144,000000000000000000000001
gerçek,145,100000000000000000000000
sự thật,146,010000000000000000000000
真相,147,001000000000000000000000
진실,148,000100000000000000000000
حرية,149,000010000000000000000000
自由,150,000001000000000000000000
vrijheid,151,000000100000000000000000
freedom,152,000000010000000000000000
liberté,153,000000001000000000000000
Freiheit,154,000000000100000000000000
आज़ादी,155,000000000010000000000000
kebebasan,156,000000000001000000000000
libertà,157,000000000000100000000000
자유,158,000000000000010000000000
liberdade,159,000000000000001000000000
свобода,160,000000000000000100000000
libertad,161,000000000000000010000000
เสรีภาพ,162,000000000000000001000000
özgürlük,163,000000000000000000100000
tự do,164,000000000000000000010000
شفقة,165,000000000000000000001000
Mitgefühl,166,000000000000000000000100
compassion,167,000000000000000000000010
compasión,168,000000000000000000000001
दया,169,100000000000000000000000
kasih sayang,170,010000000000000000000000
compassione,171,001000000000000000000000
思いやり,172,000100000000000000000000
mededogen,173,000010000000000000000000
compaixão,174,000001000000000000000000
сострадание,175,000000100000000000000000
ความเมตตา,176,000000010000000000000000
şefkat,177,000000001000000000000000
tình cảm,178,000000000100000000000000
慈悲,179,000000000010000000000000
동정,180,000000000001000000000000
إيمان,181,000000000000100000000000
Glaube,182,000000000000010000000000
faith,183,000000000000001000000000
fe,184,000000000000000100000000
foi,185,000000000000000010000000
विश्वास,186,000000000000000001000000
iman,187,000000000000000000100000
fede,188,000000000000000000010000
信仰,189,000000000000000000001000
geloof,190,000000000000000000000100
fé,191,000000000000000000000010
вера,192,000000000000000000000001
ศรัทธา,193,100000000000000000000000
tín ngưỡng,194,010000000000000000000000
믿음,195,001000000000000000000000
ذكي,196,000100000000000000000000
klug,197,000010000000000000000000
smart,198,000001000000000000000000
inteligente,199,000000100000000000000000
intelligent,200,000000010000000000000000
चतुर,201,000000001000000000000000
pintar,202,000000000100000000000000
